gram,1st,2nd,3rd,freq
1,resulted, , ,23.515579071134606
1,catholic, , ,20.576131687242782
1,unintended, , ,19.400352733686052
1,founders, , ,18.224573780129322
1,socialist, , ,15.285126396237498
1,morality, , ,15.285126396237498
1,excessive, , ,14.697236919459133
1,entrepreneurs, , ,14.109347442680768
1,thousands, , ,14.109347442680768
1,illegals, , ,12.933568489124038
1,owners, , ,12.933568489124038
1,alter, , ,12.933568489124038
1,protected, , ,12.933568489124038
1,prolife, , ,12.933568489124038
1,respond, , ,12.345679012345673
1,presents, , ,12.345679012345673
1,immigrant, , ,12.345679012345673
1,morally, , ,11.757789535567309
1,breakdown, , ,11.757789535567309
1,godgiven, , ,11.757789535567309
1,movie, , ,11.169900058788944
1,mandates, , ,11.169900058788944
1,disruption, , ,11.169900058788944
1,vice, , ,11.169900058788944
1,trillions, , ,10.582010582010579
1,tyranny, , ,10.582010582010579
1,stake, , ,10.582010582010579
1,rewarding, , ,10.582010582010579
1,alarming, , ,9.994121105232214
1,ineffective, , ,9.994121105232214
1,teen, , ,9.994121105232214
1,republic, , ,9.994121105232214
1,porn, , ,9.994121105232214
1,acorn, , ,9.994121105232214
1,b, , ,9.994121105232214
1,imposition, , ,9.406231628453849
1,maintenance, , ,9.406231628453849
1,christ, , ,9.406231628453849
1,dr, , ,9.406231628453849
1,spends, , ,9.406231628453849
1,immense, , ,9.406231628453849
1,traffic, , ,9.406231628453849
1,unborn, , ,9.406231628453849
1,powers, , ,9.406231628453849
1,determine, , ,9.406231628453849
1,exposure, , ,9.406231628453849
1,talent, , ,8.818342151675484
1,intentions, , ,8.818342151675484
1,whites, , ,8.818342151675484
1,character, , ,8.818342151675484
1,taught, , ,8.818342151675484
1,premiums, , ,8.818342151675484
1,borrowers, , ,8.818342151675484
1,license, , ,8.818342151675484
1,ipcc, , ,8.818342151675484
1,arms, , ,8.818342151675484
1,guncontrol, , ,8.818342151675484
1,previously, , ,8.818342151675484
1,described, , ,8.818342151675484
1,sending, , ,8.818342151675484
1,bankrupting, , ,8.818342151675484
1,lesser, , ,8.818342151675484
1,purchases, , ,8.23045267489712
1,drained, , ,8.23045267489712
1,deregulation, , ,8.23045267489712
1,discipline, , ,8.23045267489712
1,governor, , ,8.23045267489712
1,ad, , ,8.23045267489712
1,manner, , ,8.23045267489712
1,overspending, , ,8.23045267489712
1,socialized, , ,8.23045267489712
1,assure, , ,8.23045267489712
1,erode, , ,8.23045267489712
1,evils, , ,8.23045267489712
1,bankroll, , ,8.23045267489712
1,energyefficiency, , ,7.642563198118754
1,friend, , ,7.642563198118754
1,constantly, , ,7.642563198118754
1,heritage, , ,7.642563198118754
1,england, , ,7.642563198118754
1,massachusetts, , ,7.642563198118754
1,negligible, , ,7.642563198118754
1,cash, , ,7.642563198118754
1,concludes, , ,7.642563198118754
1,diseases, , ,7.642563198118754
1,discredit, , ,7.642563198118754
1,happens, , ,7.642563198118754
1,inducing, , ,7.642563198118754
1,inventors, , ,7.642563198118754
1,provider, , ,7.642563198118754
1,bodies, , ,7.642563198118754
1,believers, , ,7.642563198118754
1,catholics, , ,7.642563198118754
1,excellence, , ,7.642563198118754
1,illness, , ,7.642563198118754
1,reporting, , ,7.642563198118754
